trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
330,False,"{'a': 0.8, 'e': 0.036275567655825146}",30,15,26.731530856312276,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.8, 'e': 0.03591281197926689}",30,16,27.182056594540867,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.8, 'e': 0.035553683859474224}",25,16,17.059676877947783,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.8, 'e': 0.03519814702087948}",25,15,15.46825059728003,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.8, 'e': 0.03484616555067068}",25,17,16.49869110053498,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.8, 'e': 0.034497703895163975}",20,0,31.109574943448575,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
336,False,"{'a': 0.8, 'e': 0.03415272685621234}",30,8,39.95355477261171,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.8, 'e': 0.03381119958765021}",25,9,27.00586140420649,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.8, 'e': 0.03347308759177371}",30,24,12.224179904684542,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.8, 'e': 0.03313835671585597}",25,13,22.86101431096336,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.8, 'e': 0.03280697314869741}",30,9,24.697837875779392,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
341,False,"{'a': 0.8, 'e': 0.032478903417210436}",25,20,10.055140140492597,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.8, 'e': 0.032154114383038335}",25,13,15.363973859830928,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.8, 'e': 0.03183257323920795}",30,15,28.90461226729253,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.8, 'e': 0.03151424750681587}",25,14,21.910360689189954,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.8, 'e': 0.03119910503174771}",35,28,14.994988027360321,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.8, 'e': 0.030887113981430233}",35,18,32.191443266699196,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.8, 'e': 0.03057824284161593}",20,0,11.791855122446844,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
348,False,"{'a': 0.8, 'e': 0.03027246041319977}",20,13,13.97163983521709,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.8, 'e': 0.029969735809067772}",25,14,16.826198741235032,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.8, 'e': 0.029670038450977095}",20,10,-30.1923878782518,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
351,False,"{'a': 0.8, 'e': 0.029373338066467324}",25,13,19.805937395111922,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
