trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
24,True,"{'a': 0.0, 'e': 0.0}",25,0,33.333318336300756,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
25,True,"{'a': 0.0, 'e': 0.0}",20,6,23.653378883079252,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0.0, 'e': 0.0}",25,0,-11.305699869439747,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
27,True,"{'a': 0.0, 'e': 0.0}",20,0,24.8067962604619,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,True,"{'a': 0.0, 'e': 0.0}",25,11,0.8438581399310561,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
29,True,"{'a': 0.0, 'e': 0.0}",20,0,-23.201296623441035,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
30,True,"{'a': 0.0, 'e': 0.0}",25,15,15.762617618415016,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'a': 0.0, 'e': 0.0}",20,0,24.270840530823378,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,True,"{'a': 0.0, 'e': 0.0}",20,0,20.697187707417047,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
33,True,"{'a': 0.0, 'e': 0.0}",25,8,26.347730941051623,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'a': 0.0, 'e': 0.0}",25,11,16.635944877885553,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
35,True,"{'a': 0.0, 'e': 0.0}",20,0,-20.934904898987,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
36,True,"{'a': 0.0, 'e': 0.0}",20,5,25.33267983481993,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,True,"{'a': 0.0, 'e': 0.0}",20,0,27.887181905201977,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,True,"{'a': 0.0, 'e': 0.0}",25,17,13.917153874516249,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,True,"{'a': 0.0, 'e': 0.0}",20,11,15.92604255737584,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,True,"{'a': 0.0, 'e': 0.0}",25,15,20.006215705808195,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
