trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.8, 'e': 0.5755504782013432}",25,0,-40.78073232131757,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
43,False,"{'a': 0.8, 'e': 0.9876194833474773}",20,9,-56.09061191939778,"{0: 4, 1: 2, 2: 5, 3: 0, 4: 0}",1
44,False,"{'a': 0.8, 'e': 0.8006117624589936}",30,5,-107.4849060357441,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",1
45,False,"{'a': 0.8, 'e': 0.12796368962740468}",20,0,4.504425370205093,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
46,False,"{'a': 0.8, 'e': 0.6223054402265364}",25,0,5.7577736521101635,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
47,False,"{'a': 0.8, 'e': 0.9950924405655388}",25,0,-283.6186528935828,"{0: 7, 1: 6, 2: 6, 3: 2, 4: 4}",0
48,False,"{'a': 0.8, 'e': 0.7642697192987757}",20,0,-87.56126737705478,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
49,False,"{'a': 0.8, 'e': 0.06985124180712729}",20,0,31.40279495101432,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.8, 'e': 0.6669380616522619}",25,0,-164.71652640135198,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
51,False,"{'a': 0.8, 'e': 0.9991716863513789}",25,0,-174.68516759651024,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
52,False,"{'a': 0.8, 'e': 0.7253211736891914}",30,14,-66.43459398219736,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 1}",1
53,False,"{'a': 0.8, 'e': 0.011500569930257757}",20,11,16.580550001763193,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",35,18,30.00864340958461,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",30,13,22.268562244587464,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,13,13.525606688502053,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,8,23.64651261381273,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,3,29.739689135063223,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,18,21.38800175492661,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",30,19,17.62457236255002,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",35,19,26.67880928785056,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,13,24.299849629720338,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,11,26.345964849604137,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
